Emmanuel Mudiay,DEN,10.95
Tyler Ennis,HOU/LAL,10.94
Raymond Felton,LAC,10.9
Shelvin Mack,UTAH,10.9
Terry Rozier,BOS,10.9
Trey Burke,WSH,10.9
Gerald Henderson,PHI,10.81
Patrick Patterson,TOR,10.8
Noah Vonleh,POR,10.78
Doug McDermott,CHI/OKC,10.77
Nicolas Brussino,DAL,10.75
Derrick Williams,CLE/MIA,10.72
Josh Richardson,MIA,10.71
James Ennis III,MEM,10.62
Jared Dudley,PHX,10.58
Jeff Green,ORL,10.57
PJ Tucker,PHX/TOR,10.54
Troy Daniels,MEM,10.48
Marcus Thornton,WSH,10.44
Langston Galloway,NO/SAC,10.41
Matt Barnes,GS/SAC,10.36
Jaylen Brown,BOS,10.33
Luc Mbah a Moute,LAC,10.25
Dante Cunningham,NO,10.2
Danny Green,SA,10.16
Jerami Grant,PHI/OKC,10.14
Luol Deng,LAL,10.13
Alex Abrines,OKC,10.11
Mike Dunleavy,ATL/CLE,10.11
Shaun Livingston,GS,10.1
Anthony Morrow,CHI/OKC,10.09
Monta Ellis,IND,9.99
Omri Casspi,NO/MIN/SAC,9.98
Trey Lyles,UTAH,9.97
Michael Carter-Williams,CHI,9.92
Jonathon Simmons,SA,9.91
Taurean Prince,ATL,9.88
Ben McLemore,SAC,9.87
Tony Snell,MIL,9.75
Andre Roberson,OKC,9.64
Aaron Brooks,IND,9.62
Rodney Stuckey,IND,9.53
Matthew Dellavedova,MIL,9.44
Andrew Bogut,CLE/DAL,9.31
C.J. Watson,ORL,9.3
Jonas Jerebko,BOS,9.29
Corey Brewer,HOU/LAL,9.16
Jason Terry,MIL,9.11
Kelly Oubre Jr.,WSH,9.1
Rodney McGruder,MIA,9.09
Iman Shumpert,CLE,9.06
Troy Williams,HOU/MEM,9.06
Nik Stauskas,PHI,9.05
Boris Diaw,UTAH,9.04
Joe Harris,BKN,9.04
Arron Afflalo,SAC,9.02
Meyers Leonard,POR,8.96
Jose Calderon,ATL/LAL,8.94
Mirza Teletovic,MIL,8.81
Jarell Martin,MEM,8.74
Andrew Harrison,MEM,8.69
Patrick McCaw,GS,8.6
Dante Exum,UTAH,8.58
Brandon Ingram,LAL,8.56
Timothe Luwawu-Cabarrot,PHI,8.51
Tomas Satoransky,WSH,8.49
Wesley Johnson,LAC,8.41
Lance Thomas,NY,8.39
Luke Babbitt,MIA,8.32
Richard Jefferson,CLE,8.29
Justise Winslow,MIA,8.2
Kris Dunn,MIN,8.13
Isaiah Canaan,CHI,8.12
JR Smith,CLE,8.11
Solomon Hill,NO,8.06
Hollis Thompson,NO/PHI,7.93
Chandler Parsons,MEM,7.69
Dorian Finney-Smith,DAL,7.68
Isaiah Whitehead,BKN,7.59
Malcolm Delaney,ATL,7.56
Ron Baker,NY,7.51
DeAndre Liggins,CLE/DAL,7.51
Randy Foye,BKN,7.33
Denzel Valentine,CHI,7.32
Mario Hezonja,ORL,7.27
Stanley Johnson,DET,7.18
Paul Zipser,CHI,6.99
Domantas Sabonis,OKC,6.93
Brandon Rush,MIN,6.62
Semaj Christon,OKC,5.72
Dragan Bender,PHX,5.32
