Dion Waiters,MIA,11.4
Seth Curry,POR,11.4
Justin Jackson,DAL/SAC,11.38
Thon Maker,DET/MIL,11.37
Kyle Korver,CLE/UTAH,11.29
Tyson Chandler,LAL/PHX,11.25
Dante Exum,UTAH,11.24
Tyler Dorsey,ATL/MEM,11.23
Alfonzo McKinnie,GS,11.2
Troy Brown Jr.,WSH,11.13
Matthew Dellavedova,CLE/MIL,11.08
Dorian Finney-Smith,DAL,11.07
Juan Hernangomez,DEN,11.03
Will Barton,DEN,11.03
Cory Joseph,IND,11.02
Rodions Kurucs,BKN,11.01
Landry Shamet,LAC/PHI,10.99
James Ennis III,HOU/PHI,10.98
Nik Stauskas,CLE/POR,10.97
James Johnson,MIA,10.96
Sterling Brown,MIL,10.93
Mario Hezonja,NY,10.88
Jerian Grant,ORL,10.86
Mike Muscala,LAL/PHI,10.85
Damyean Dotson,NY,10.81
DeAndre' Bembry,ATL,10.79
Mikal Bridges,PHX,10.78
Devin Harris,DAL,10.76
Tony Snell,MIL,10.72
Langston Galloway,DET,10.69
Josh Jackson,PHX,10.67
Antonio Blakeney,CHI,10.65
Reggie Bullock,DET/LAL,10.48
Shelvin Mack,MEM/CHA,10.45
Torrey Craig,DEN,10.42
Wesley Matthews,DAL/IND/NY,10.37
D.J. Wilson,MIL,10.33
Devonte' Graham,CHA,10.32
Dante Cunningham,SA,10.21
Hamidou Diallo,OKC,10.17
Kevin Huerter,ATL,10.15
Justin Holiday,CHI/MEM,9.99
De'Anthony Melton,PHX,9.94
Chasson Randle,WSH,9.91
Troy Daniels,PHX,9.88
OG Anunoby,TOR,9.85
Kenrich Williams,NO,9.7
Dirk Nowitzki,DAL,9.7
Stanley Johnson,NO/DET,9.68
Keita Bates-Diop,MIN,9.66
Dragan Bender,PHX,9.48
Frank Jackson,NO,9.42
Rodney McGruder,MIA,9.41
Josh Okogie,MIN,9.38
Josh Hart,LAL,9.31
PJ Tucker,HOU,9.24
Gary Clark,HOU,9.17
Iman Shumpert,HOU/SAC,9.11
C.J. Miles,TOR/MEM,9.02
Royce O'Neale,UTAH,9.0
Brandon Knight,CLE/HOU,8.96
Abdel Nader,OKC,8.83
Chandler Hutchison,CHI,8.83
Glenn Robinson III,DET,8.77
Kevin Knox II,NY,8.73
Wes Iwundu,ORL,8.71
Anthony Tolliver,MIN,8.65
Mike Scott,LAC/PHI,8.64
Jerryd Bayless,MIN,8.58
Jonathon Simmons,ORL/PHI,8.56
Semi Ojeleye,BOS,8.53
Wilson Chandler,LAC/PHI,8.51
Garrett Temple,LAC/MEM,8.48
Darius Miller,NO,8.39
Wayne Selden,CHI/MEM,8.33
Ian Clark,NO,8.32
Patrick Patterson,OKC,8.14
Timothe Luwawu-Cabarrot,CHI/OKC,8.03
Isaiah Canaan,MIL/MIN/PHX,8.0
Jevon Carter,MEM,7.86
Jared Dudley,BKN,7.83
Allen Crabbe,BKN,7.74
Austin Rivers,HOU/WSH,7.73
Avery Bradley,LAC/MEM,7.66
Elie Okobo,PHX,7.65
Jose Calderon,DET,7.09
Tyrone Wallace,LAC,7.07
Bruce Brown,DET,6.97
Solomon Hill,NO,6.85
Isaiah Briscoe,ORL,6.74
Terrance Ferguson,OKC,6.46
Lance Thomas,NY,6.43
Alex Abrines,OKC,6.28
Treveon Graham,BKN,6.17
Frank Ntilikina,NY,6.03
Wesley Johnson,NO/WSH,5.5
