"Hamidou Diallo, OKC",13.71,,,,,,,,,,,,
"Bryn Forbes, SA",13.7,,,,,,,,,,,,
"Marvin Williams, CHA",13.67,,,,,,,,,,,,
"Aaron Holiday, IND",13.63,,,,,,,,,,,,
"Meyers Leonard, MIA",13.6,,,,,,,,,,,,
"Jaren Jackson Jr., MEM",13.52,,,,,,,,,,,,
"Josh Okogie, MIN",13.48,,,,,,,,,,,,
"Anfernee Simons, POR",13.43,,,,,,,,,,,,
"JJ Redick, NO",13.4,,,,,,,,,,,,
"Glenn Robinson III, GS",13.37,,,,,,,,,,,,
"Yogi Ferrell, SAC",13.28,,,,,,,,,,,,
"Davis Bertans, WSH",13.18,,,,,,,,,,,,
"Maxi Kleber, DAL",13.14,,,,,,,,,,,,
"Mikal Bridges, PHX",13.08,,,,,,,,,,,,
"Dennis Schroder, OKC",13.07,,,,,,,,,,,,
"Frank Jackson, NO",12.95,,,,,,,,,,,,
"Damion Lee, GS",12.93,,,,,,,,,,,,
"Dillon Brooks, MEM",12.93,,,,,,,,,,,,
"Daniel Theis, BOS",12.93,,,,,,,,,,,,
"Kenrich Williams, NO",12.86,,,,,,,,,,,,
"Bruno Fernando, ATL",12.82,,,,,,,,,,,,
"Frank Kaminsky, PHX",12.8,,,,,,,,,,,,
"Kyle Kuzma, LAL",12.78,,,,,,,,,,,,
"Ersan Ilyasova, MIL",12.77,,,,,,,,,,,,
"Shabazz Napier, MIN",12.77,,,,,,,,,,,,
"Kevin Huerter, ATL",12.73,,,,,,,,,,,,
"Thaddeus Young, CHI",12.71,,,,,,,,,,,,
"Tomas Satoransky, CHI",12.71,,,,,,,,,,,,
"Dwight Powell, DAL",12.64,,,,,,,,,,,,
"Kevin Knox II, NY",12.48,,,,,,,,,,,,
"Draymond Green, GS",12.45,,,,,,,,,,,,
"Lauri Markkanen, CHI",12.42,,,,,,,,,,,,
"Norman Powell, TOR",12.42,,,,,,,,,,,,
"Allonzo Trier, NY",12.41,,,,,,,,,,,,
"Malik Monk, CHA",12.31,,,,,,,,,,,,
"Nicolas Claxton, BKN",12.31,,,,,,,,,,,,
"Dorian Finney-Smith, DAL",12.26,,,,,,,,,,,,
"PJ Tucker, HOU",12.19,,,,,,,,,,,,
"RJ Barrett, NY",12.17,,,,,,,,,,,,
"Dario Saric, PHX",12.16,,,,,,,,,,,,
"Raul Neto, PHI",12.16,,,,,,,,,,,,
"Josh Richardson, PHI",12.12,,,,,,,,,,,,
"Rodney Hood, POR",12.04,,,,,,,,,,,,
"Tyler Herro, MIA",12.03,,,,,,,,,,,,
"Alex Len, ATL",12.01,,,,,,,,,,,,
"Danny Green, LAL",11.99,,,,,,,,,,,,
"Joe Harris, BKN",11.93,,,,,,,,,,,,
"Garrett Temple, BKN",11.91,,,,,,,,,,,,
"Seth Curry, DAL",11.83,,,,,,,,,,,,
"Trey Lyles, SA",11.72,,,,,,,,,,,,
"E'Twaun Moore, NO",11.68,,,,,,,,,,,,
"Tyus Jones, MEM",11.67,,,,,,,,,,,,
"Jerami Grant, DEN",11.53,,,,,,,,,,,,
"Solomon Hill, MEM",11.52,,,,,,,,,,,,
"Michael Carter-Williams, ORL",11.49,,,,,,,,,,,,
"Cody Martin, CHA",11.44,,,,,,,,,,,,
"Duncan Robinson, MIA",11.43,,,,,,,,,,,,
"Ky Bowman, GS",11.42,,,,,,,,,,,,
"Tony Snell, DET",11.4,,,,,,,,,,,,
"Ryan Arcidiacono, CHI",11.35,,,,,,,,,,,,
"Kelly Olynyk, MIA",11.21,,,,,,,,,,,,
"Caris LeVert, BKN",11.19,,,,,,,,,,,,
"JaMychal Green, LAC",11.16,,,,,,,,,,,,
"DeAndre' Bembry, ATL",11.15,,,,,,,,,,,,
"Jae Crowder, MEM",11.14,,,,,,,,,,,,
"Mike Conley, UTAH",11.14,,,,,,,,,,,,
"Mike Scott, PHI",11.13,,,,,,,,,,,,
"Coby White, CHI",10.91,,,,,,,,,,,,
"Damyean Dotson, NY",10.86,,,,,,,,,,,,
"Avery Bradley, LAL",10.74,,,,,,,,,,,,
"Markieff Morris, DET",10.73,,,,,,,,,,,,
"Furkan Korkmaz, PHI",10.72,,,,,,,,,,,,
"Miles Bridges, CHA",10.69,,,,,,,,,,,,
"Taurean Prince, BKN",10.58,,,,,,,,,,,,
"Carsen Edwards, BOS",10.56,,,,,,,,,,,,
"Terrence Ross, ORL",10.55,,,,,,,,,,,,
"Chandler Hutchison, CHI",10.52,,,,,,,,,,,,
"Pat Connaughton, MIL",10.5,,,,,,,,,,,,
"Jake Layman, MIN",10.45,,,,,,,,,,,,
"JaKarr Sampson, IND",10.14,,,,,,,,,,,,
"Kyle Korver, MIL",10,,,,,,,,,,,,
"Terance Mann, LAC",9.94,,,,,,,,,,,,
"Quinn Cook, LAL",9.83,,,,,,,,,,,,
"Thon Maker, DET",9.78,,,,,,,,,,,,
"Maurice Harkless, LAC",9.75,,,,,,,,,,,,
"Royce O'Neale, UTAH",9.68,,,,,,,,,,,,
"Gary Harris, DEN",9.61,,,,,,,,,,,,
"Luke Kornet, CHI",9.59,,,,,,,,,,,,
"Justin Holiday, IND",9.56,,,,,,,,,,,,
"Austin Rivers, HOU",9.42,,,,,,,,,,,,
"Al-Farouq Aminu, ORL",9.41,,,,,,,,,,,,
"Doug McDermott, IND",9.41,,,,,,,,,,,,
"Kentavious Caldwell-Pope, LAL",9.34,,,,,,,,,,,,
"Alex Caruso, LAL",9.28,,,,,,,,,,,,
"Nassir Little, POR",9.28,,,,,,,,,,,,
"Justise Winslow, MIA",9.25,,,,,,,,,,,,
"Frank Ntilikina, NY",9.24,,,,,,,,,,,,
"Isaac Bonga, WSH",9.21,,,,,,,,,,,,
"Kent Bazemore, POR",8.97,,,,,,,,,,,,
"Ish Smith, WSH",8.87,,,,,,,,,,,,
"Jevon Carter, PHX",8.85,,,,,,,,,,,,
"Patrick Patterson, LAC",8.82,,,,,,,,,,,,
"Tim Hardaway Jr., DAL",8.79,,,,,,,,,,,,
"Ben McLemore, HOU",8.62,,,,,,,,,,,,
"Vince Carter, ATL",8.62,,,,,,,,,,,,
"Cory Joseph, SAC",8.52,,,,,,,,,,,,
"Tyler Johnson, PHX",8.52,,,,,,,,,,,,
"Thabo Sefolosha, HOU",8.51,,,,,,,,,,,,
"David Nwaba, BKN",8.46,,,,,,,,,,,,
"Kevin Porter Jr., CLE",8.36,,,,,,,,,,,,
"Mario Hezonja, POR",8.24,,,,,,,,,,,,
"Joe Ingles, UTAH",8.05,,,,,,,,,,,,
"Cedi Osman, CLE",8.03,,,,,,,,,,,,
"Patrick Beverley, LAC",7.97,,,,,,,,,,,,
"Marko Guduric, MEM",7.95,,,,,,,,,,,,
"Wesley Matthews, MIL",7.79,,,,,,,,,,,,
"Semi Ojeleye, BOS",7.77,,,,,,,,,,,,
"Nickeil Alexander-Walker, NO",7.57,,,,,,,,,,,,
"Marc Gasol, TOR",7.5,,,,,,,,,,,,
"Dewayne Dedmon, SAC",7.42,,,,,,,,,,,,
"Jarrett Culver, MIN",7.4,,,,,,,,,,,,
"Bruce Brown, DET",7.36,,,,,,,,,,,,
"Darius Bazley, OKC",7.31,,,,,,,,,,,,
"Terrance Ferguson, OKC",7.25,,,,,,,,,,,,
"Robin Lopez, MIL",7.19,,,,,,,,,,,,
"Troy Daniels, LAL",7.15,,,,,,,,,,,,
"De'Andre Hunter, ATL",7.05,,,,,,,,,,,,
"Malik Beasley, DEN",6.98,,,,,,,,,,,,
"Trevor Ariza, SAC",6.98,,,,,,,,,,,,
"Georges Niang, UTAH",6.73,,,,,,,,,,,,
"Tim Frazier, DET",6.69,,,,,,,,,,,,
"Mo Bamba, ORL",6.69,,,,,,,,,,,,
"Jerome Robinson, LAC",6.69,,,,,,,,,,,,
"Dzanan Musa, BKN",6.66,,,,,,,,,,,,
"Jeff Green, UTAH",6.56,,,,,,,,,,,,
"Landry Shamet, LAC",6.44,,,,,,,,,,,,
"Treveon Graham, MIN",6.34,,,,,,,,,,,,
"Mike Muscala, OKC",6.22,,,,,,,,,,,,
"Torrey Craig, DEN",6.09,,,,,,,,,,,,
"Darius Garland, CLE",5.98,,,,,,,,,,,,
"Matisse Thybulle, PHI",5.9,,,,,,,,,,,,
"Grant Williams, BOS",5.78,,,,,,,,,,,,
"Sviatoslav Mykhailiuk, DET",5.65,,,,,,,,,,,,
"Dwayne Bacon, CHA",5.5,,,,,,,,,,,,
"Abdel Nader, OKC",5.19,,,,,,,,,,,,
"Matthew Dellavedova, CLE",5.14,,,,,,,,,,,,
"Anthony Tolliver, POR",4.89,,,,,,,,,,,,
"Wayne Ellington, NY",4.39,,,,,,,,,,,,
"Tyrone Wallace, ATL",4.36,,,,,,,,,,,,
"Cam Reddish, ATL",3.98,,,,,,,,,,,,
"Eric Gordon, HOU",3.64,,,,,,,,,,,,
"Jordan Poole, GS",3.33,,,,,,,,,,,,
"Rodney McGruder, LAC",3.11,,,,,,,,,,,,
"Marco Belinelli, SA",2.43,,,,,,,,,,,,
"Dennis Smith Jr., NY",1.81,,,,,,,,,,,,
"Rodions Kurucs, BKN",1.39,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
